,,,,,,,,,
Justification,Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,,
Refactored,main,ca.dal.Group2.Task.Service.Impl,TaskServiceImpl,changeStatus,Complex Conditional,"The conditional expression !status.equals(""To-Do"") && !status.equals(""In Progress"") && !status.equals(""Done"") is complex.",36,,
Refactored,main,ca.dal.Group2.Task.Service.Impl,TaskServiceImpl,isDueDateinWeek,Magic Number,The method contains a magic number: 604800,113,,
Refactored,main,ca.dal.Group2.Task.Service.Impl,TaskServiceImpl,isDueDateinWeek,Magic Number,The method contains a magic number: 1000,113,,
"This is a constructor, it needs the 5 parameters to initialize the class",main,ca.dal.Group2.User.Entity,UserEntity,UserEntity,Long Parameter List,The method has 5 parameters. ,50,,
,,,,,,,,,
,,,,,,,,,
Justification,Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Board.Controller,BoardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Board.Service.Impl,BoardServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
Refactored,main,ca.dal.Group2.Board.Entity,BoardEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id, boardName, boardDescription,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2,ServerApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Task.Controller,DueDateController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Task.Controller,TaskController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Task.Service.Impl,DueDateServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Task.Service.Impl,TaskServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Task.Entity.dto,TaskDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.User.UserController,UserCont,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
Refactored,main,ca.dal.Group2.User.UserController,UserCont,Feature Envy,The tool detected a instance of this smell because addUserToWorkspace is more interested in members of the type: UserService,,,,
Refactored,main,ca.dal.Group2.User.UserController,UserCont,Feature Envy,The tool detected a instance of this smell because forgetPassword is more interested in members of the type: UserService,,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Workspace.Controller,WorkSpaceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
This is not a valid code smell because Designite doesn’t know Springboot is using the class. We know that this class is being used,main,ca.dal.Group2.Workspace.Service.impl,WorkSpaceServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,,
Refactored,main,ca.dal.Group2.Workspace.Entity,WorkSpaceEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id, workSpaceName, workSpaceDescription, workSpaceType
Refactored,main,ca.dal.Group2.Workspace.Entity,WorkSpaceEntity,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id, workSpaceName, workSpaceDescription, workSpaceType, boards
,,,,,,,,,
No smells in:,,,,,,,,,
ArchitectureSmells,,,,,,,,,
TestSmells,,,,,,,,,
TestabilitySmells,,,,,,,,,
