Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
main,ca.dal.Group2.Board.Controller,BoardController,2,0,2,2,12,2,0,0,0.0,0,3,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Board/Controller/BoardController.java,14
main,ca.dal.Group2.Board.Service,BoardService,0,0,3,2,5,3,0,0,-1.0,2,1,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Board/Service/BoardService.java,5
main,ca.dal.Group2.Board.Service.Impl,BoardServiceImpl,1,0,3,3,19,4,0,0,0.0,0,2,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Board/Service/Impl/BoardServiceImpl.java,11
main,ca.dal.Group2.Board.Entity,BoardEntity,3,0,6,6,23,6,0,0,0.5,4,0,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Board/Entity/BoardEntity.java,10
main,ca.dal.Group2.Board.Repository,BoardRepo,0,0,0,0,2,0,0,0,-1.0,2,0,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Board/Repository/BoardRepo.java,8
main,ca.dal.Group2,ServerApplication,0,0,1,1,5,1,0,0,-1.0,0,0,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/ServerApplication.java,6
main,ca.dal.Group2.Task.Controller,DueDateController,1,0,2,2,9,2,0,0,0.0,0,2,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Task/Controller/DueDateController.java,10
main,ca.dal.Group2.Task.Controller,TaskController,4,0,7,7,39,9,0,0,0.2857142857142857,0,5,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Task/Controller/TaskController.java,18
main,ca.dal.Group2.Task.Service,DueDateService,0,0,3,0,5,3,0,0,-1.0,2,1,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Task/Service/DueDateService.java,7
main,ca.dal.Group2.Task.Service,TaskService,0,0,10,8,12,10,0,0,-1.0,1,1,/home/ellis/Documents/school/3130/group02/server/src/main/java/ca/dal/Group2/Task/Service/TaskService.java,9
